"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","439","displays clinic name and contact info","chromium","2026-06-27","passed","2026-06-27","Public clinic site","ui/public.spec.ts","",""
"","1207","searches patients by name","chromium","2026-06-27","passed","2026-06-27","Staff dashboard","ui/staff.spec.ts","",""
"","1140","staff redirects to staff dashboard","chromium","2026-06-27","passed","2026-06-27","Login","ui/login.spec.ts","",""
"","701","rejects invalid credentials","chromium","2026-06-27","passed","2026-06-27","Login","ui/login.spec.ts","",""
"","1751","updates clinic tagline","chromium","2026-06-27","passed","2026-06-27","Admin dashboard","ui/admin.spec.ts","",""
"","6667","adds a new patient","chromium","2026-06-27","failed","2026-06-27","Admin dashboard","ui/admin.spec.ts","",""
"","964","staff can list patients with JWT","chromium","2026-06-27","passed","2026-06-27","Patients API","api/supabase.spec.ts","",""
"","371","navigates to staff login","chromium","2026-06-27","passed","2026-06-27","Public clinic site","ui/public.spec.ts","",""
"","858","GET clinic_info is public","chromium","2026-06-27","passed","2026-06-27","Clinic API","api/supabase.spec.ts","",""
"","3106","updates patient phone number","chromium","2026-06-27","passed","2026-06-27","Staff dashboard","ui/staff.spec.ts","",""
"","220","invalid password returns 400","chromium","2026-06-27","passed","2026-06-27","Auth API","api/supabase.spec.ts","",""
"","1249","shows clinic form and patient table","chromium","2026-06-27","passed","2026-06-27","Admin dashboard","ui/admin.spec.ts","",""
"","807","staff can create and delete a patient via REST","chromium","2026-06-27","failed","2026-06-27","Patients API","api/supabase.spec.ts","",""
"","175","GET patients without auth returns empty or unauthorized","chromium","2026-06-27","passed","2026-06-27","Clinic API","api/supabase.spec.ts","",""
"","1682","lists patients in a table and shows details","chromium","2026-06-27","passed","2026-06-27","Staff dashboard","ui/staff.spec.ts","",""
"","1127","admin redirects to admin dashboard","chromium","2026-06-27","passed","2026-06-27","Login","ui/login.spec.ts","",""
"","1361","logout returns to login","chromium","2026-06-27","passed","2026-06-27","Login","ui/login.spec.ts","",""
"","2359","adds a visit history record","chromium","2026-06-27","passed","2026-06-27","Staff dashboard","ui/staff.spec.ts","",""
"","533","password grant returns access token","chromium","2026-06-27","passed","2026-06-27","Auth API","api/supabase.spec.ts","",""
